# format:name ra_d dec_d i q u v emaj_s emin_s pa_d
Source6 85.196732 11.935351 1.359182e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -54.319748
Source11 85.021317 12.130885 8.714951e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -22.626932
Source15 85.376587 12.037174 2.457857e-07 0.000000 0.000000 0.000000 3.000000 3.000000 60.167194
Source22 85.338013 12.132750 5.708642e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -88.977455
Source28 85.109848 11.992484 2.984436e-08 0.000000 0.000000 0.000000 3.000000 3.000000 12.842974
Source30 85.305794 12.112841 8.799625e-08 0.000000 0.000000 0.000000 3.000000 3.000000 82.086128
Source31 85.010582 12.208261 2.088499e-08 0.000000 0.000000 0.000000 3.000000 3.000000 45.972408
Source37 85.140190 12.078282 3.741651e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -0.222056
Source42 84.996010 12.020079 1.187702e-07 0.000000 0.000000 0.000000 3.000000 3.000000 21.027983
Source48 85.139847 12.027147 9.596848e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -12.458409
Source52 85.067207 12.075230 1.656971e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -37.422291
Source54 85.373337 11.837618 1.539252e-07 0.000000 0.000000 0.000000 3.000000 3.000000 74.602623
Source67 85.377930 11.889279 1.144637e-07 0.000000 0.000000 0.000000 3.000000 3.000000 38.693859
Source68 85.187592 11.894979 2.053099e-07 0.000000 0.000000 0.000000 3.000000 3.000000 45.754791
Source76 85.157730 11.834205 1.385462e-07 0.000000 0.000000 0.000000 3.000000 3.000000 22.321600
Source102 85.162529 11.949578 2.120218e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -73.020927
Source104 85.021523 12.075899 2.517403e-08 0.000000 0.000000 0.000000 3.000000 3.000000 70.725533
Source107 85.387016 12.126456 1.651710e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -11.846937
Source122 85.108833 11.957754 2.419625e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -5.052744
Source126 85.094360 11.848949 3.937437e-07 0.000000 0.000000 0.000000 3.000000 3.000000 86.545418
Source128 85.191078 11.962861 2.403428e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -81.333549
Source143 85.009293 11.813060 8.992064e-08 0.000000 0.000000 0.000000 3.000000 3.000000 28.172417
Source146 85.125336 12.186775 2.710405e-08 0.000000 0.000000 0.000000 3.000000 3.000000 1.072750
Source148 85.348160 12.214703 2.577626e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -26.299500
Source153 85.232780 11.905044 1.487115e-07 0.000000 0.000000 0.000000 3.000000 3.000000 27.094019
Source154 84.972282 11.989222 1.538622e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -64.541351
Source159 85.265625 11.875551 1.372832e-07 0.000000 0.000000 0.000000 3.000000 3.000000 88.052551
Source160 85.280983 11.846521 1.569740e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -12.807543
Source169 85.055649 11.979092 1.738224e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -7.001254
Source171 85.091034 12.094782 1.735778e-08 0.000000 0.000000 0.000000 3.000000 3.000000 35.191887
Source176 85.044876 12.181427 8.100908e-08 0.000000 0.000000 0.000000 3.000000 3.000000 19.246943
Source180 85.138603 11.920810 8.140925e-08 0.000000 0.000000 0.000000 3.000000 3.000000 45.689888
Source185 85.266022 12.139415 4.297882e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -89.098061
Source192 85.170372 11.982932 6.812987e-07 0.000000 0.000000 0.000000 3.000000 3.000000 42.125893
Source195 85.302055 12.160730 1.800425e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -9.337931
Source198 85.215950 11.863920 6.285919e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -86.528282
Source199 85.253342 12.039496 4.344069e-07 0.000000 0.000000 0.000000 3.000000 3.000000 71.600426
Source201 85.102234 12.053864 1.145107e-07 0.000000 0.000000 0.000000 3.000000 3.000000 6.006936
Source221 84.980263 12.055992 1.903985e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -42.384525
Source223 85.347473 12.162614 1.529131e-07 0.000000 0.000000 0.000000 3.000000 3.000000 55.935875
Source226 84.997002 11.852633 8.942535e-08 0.000000 0.000000 0.000000 3.000000 3.000000 0.634447
Source233 85.214706 12.179819 1.009530e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -83.098892
Source240 85.198807 12.214446 8.991749e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -3.265858
Source243 85.294220 12.069220 3.314891e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -49.776512
Source246 85.211739 12.115070 1.752264e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -53.345627
Source248 85.140755 11.860363 4.806933e-08 0.000000 0.000000 0.000000 3.000000 3.000000 59.056011
Source251 85.148087 12.131379 2.603584e-07 0.000000 0.000000 0.000000 3.000000 3.000000 57.545170
Source255 85.323639 11.896811 1.895961e-07 0.000000 0.000000 0.000000 3.000000 3.000000 24.128773
Source272 85.264702 12.087423 1.525576e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -12.563190
Source289 85.074219 12.018064 1.374204e-07 0.000000 0.000000 0.000000 3.000000 3.000000 82.569016
Source294 85.065094 12.123690 7.614861e-08 0.000000 0.000000 0.000000 3.000000 3.000000 28.670660
Source298 85.265320 12.169294 1.036430e-07 0.000000 0.000000 0.000000 3.000000 3.000000 32.288517
