# format:name ra_d dec_d i q u v emaj_s emin_s pa_d
Source3 12.533420 -19.638678 9.693422e-08 0.000000 0.000000 0.000000 3.000000 3.000000 21.470133
Source20 12.579381 -19.764753 7.821380e-08 0.000000 0.000000 0.000000 3.000000 3.000000 6.683492
Source22 12.529188 -19.700916 1.950904e-07 0.000000 0.000000 0.000000 3.000000 3.000000 77.902451
Source23 12.652149 -19.649025 6.954706e-08 0.000000 0.000000 0.000000 3.000000 3.000000 84.648575
Source28 12.417710 -19.532930 2.659222e-07 0.000000 0.000000 0.000000 3.000000 3.000000 4.239264
Source29 12.398737 -19.465424 2.248732e-07 0.000000 0.000000 0.000000 3.000000 3.000000 19.363014
Source31 12.530973 -19.813206 1.193408e-07 0.000000 0.000000 0.000000 3.000000 3.000000 37.510384
Source32 12.592975 -19.573294 8.958203e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -41.857830
Source33 12.378958 -19.484978 5.310568e-08 0.000000 0.000000 0.000000 3.000000 3.000000 15.595553
Source45 12.478024 -19.630623 5.432122e-08 0.000000 0.000000 0.000000 3.000000 3.000000 59.644386
Source47 12.401101 -19.678030 1.610813e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -65.994095
Source51 12.700154 -19.491863 1.938909e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -15.124249
Source56 12.355592 -19.701933 1.725123e-07 0.000000 0.000000 0.000000 3.000000 3.000000 49.742664
Source69 12.729620 -19.567888 5.218961e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -54.575752
Source70 12.460217 -19.562645 7.774937e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -81.509727
Source76 12.630525 -19.517647 1.149713e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -17.285795
Source81 12.615191 -19.485046 4.366981e-07 0.000000 0.000000 0.000000 3.000000 3.000000 65.512100
Source89 12.608772 -19.767797 9.595261e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -44.236065
Source91 12.387424 -19.589615 2.287908e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -28.159914
Source98 12.408528 -19.720135 9.225084e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -44.800320
Source108 12.699901 -19.703901 1.021454e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -53.103214
Source109 12.708487 -19.803116 4.680802e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -83.626213
Source111 12.524179 -19.769535 8.036326e-08 0.000000 0.000000 0.000000 3.000000 3.000000 73.691826
Source117 12.610096 -19.440504 2.262422e-07 0.000000 0.000000 0.000000 3.000000 3.000000 39.316040
Source123 12.458561 -19.524801 9.621575e-07 0.000000 0.000000 0.000000 3.000000 3.000000 16.315226
Source126 12.445771 -19.446102 6.641129e-08 0.000000 0.000000 0.000000 3.000000 3.000000 2.499637
Source127 12.728637 -19.685368 1.115257e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -48.907787
Source131 12.349707 -19.535828 7.409236e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -36.359177
Source146 12.373504 -19.563082 1.197844e-07 0.000000 0.000000 0.000000 3.000000 3.000000 23.730419
Source170 12.503366 -19.470615 8.527569e-08 0.000000 0.000000 0.000000 3.000000 3.000000 2.895379
Source176 12.713586 -19.638132 1.136147e-07 0.000000 0.000000 0.000000 3.000000 3.000000 68.986687
Source178 12.673384 -19.455647 1.048570e-07 0.000000 0.000000 0.000000 3.000000 3.000000 19.063046
Source184 12.492061 -19.791746 3.703250e-07 0.000000 0.000000 0.000000 3.000000 3.000000 56.185368
Source189 12.573182 -19.640387 1.056141e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -21.696922
Source190 12.450793 -19.645767 2.097286e-07 0.000000 0.000000 0.000000 3.000000 3.000000 66.990562
