# format:name ra_d dec_d i q u v emaj_s emin_s pa_d
Source1 47.672237 -46.907368 1.029988e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -80.666885
Source3 47.903996 -46.546707 1.748442e-08 0.000000 0.000000 0.000000 3.000000 3.000000 1.078105
Source11 47.894981 -46.751854 1.426317e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -75.360222
Source15 47.831615 -46.629105 2.924023e-07 0.000000 0.000000 0.000000 3.000000 3.000000 47.688763
Source18 47.843651 -46.771576 6.611543e-08 0.000000 0.000000 0.000000 3.000000 3.000000 18.974047
Source22 47.602909 -46.689014 7.630098e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -20.763405
Source25 47.947727 -46.639648 2.326125e-07 0.000000 0.000000 0.000000 3.000000 3.000000 60.034340
Source29 47.607445 -46.555733 1.263971e-07 0.000000 0.000000 0.000000 3.000000 3.000000 0.443979
Source32 47.692104 -46.555435 1.888558e-08 0.000000 0.000000 0.000000 3.000000 3.000000 41.557701
Source33 47.970409 -46.539703 2.734525e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -65.249451
Source34 47.553658 -46.818829 1.022859e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -22.577368
Source41 47.692497 -46.677315 1.449627e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -26.316797
Source44 48.005371 -46.520737 4.040920e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -63.276104
Source46 47.671593 -46.634930 4.932491e-07 0.000000 0.000000 0.000000 3.000000 3.000000 69.000107
Source51 47.781113 -46.912502 3.772404e-07 0.000000 0.000000 0.000000 3.000000 3.000000 69.616631
Source53 47.933170 -46.609337 6.966974e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -73.554543
Source55 47.902508 -46.641739 1.676083e-07 0.000000 0.000000 0.000000 3.000000 3.000000 40.008804
Source58 47.798306 -46.829502 1.019906e-07 0.000000 0.000000 0.000000 3.000000 3.000000 53.925762
Source66 47.616253 -46.648956 2.130786e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -69.789001
