# format:name ra_d dec_d i q u v emaj_s emin_s pa_d
Source1 81.965759 -46.820045 6.970071e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -83.094482
Source3 82.127495 -46.553104 3.042478e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -39.323799
Source19 82.065308 -46.650135 2.824647e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -48.548496
Source22 81.733749 -46.596600 2.580813e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -81.362968
Source29 81.977264 -46.873173 6.529455e-08 0.000000 0.000000 0.000000 3.000000 3.000000 42.815811
Source34 81.926910 -46.545559 7.140383e-08 0.000000 0.000000 0.000000 3.000000 3.000000 22.362913
Source47 81.725960 -46.898144 3.189619e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -78.294823
Source48 81.715233 -46.685570 1.546135e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -58.098007
Source68 81.792763 -46.714817 1.243013e-07 0.000000 0.000000 0.000000 3.000000 3.000000 71.468040
Source78 82.002617 -46.561821 1.080055e-07 0.000000 0.000000 0.000000 3.000000 3.000000 43.541031
Source80 81.698593 -46.639992 7.211463e-08 0.000000 0.000000 0.000000 3.000000 3.000000 60.731323
Source81 82.015823 -46.771385 2.295356e-07 0.000000 0.000000 0.000000 3.000000 3.000000 71.974174
Source82 82.217102 -46.778736 2.710779e-08 0.000000 0.000000 0.000000 3.000000 3.000000 39.648197
Source84 81.977005 -46.776733 7.283605e-08 0.000000 0.000000 0.000000 3.000000 3.000000 35.313801
Source86 81.947807 -46.685417 1.855309e-08 0.000000 0.000000 0.000000 3.000000 3.000000 25.353096
Source88 82.062218 -46.557693 1.340525e-07 0.000000 0.000000 0.000000 3.000000 3.000000 49.486519
Source95 82.043472 -46.523689 2.233677e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -35.035896
Source104 81.706841 -46.794777 2.318097e-08 0.000000 0.000000 0.000000 3.000000 3.000000 34.546753
Source112 82.196388 -46.581390 9.089028e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -61.199059
Source116 81.860504 -46.829948 1.544437e-08 0.000000 0.000000 0.000000 3.000000 3.000000 55.779831
Source123 81.677681 -46.708103 5.474291e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -61.860088
Source124 82.118011 -46.661076 1.682250e-07 0.000000 0.000000 0.000000 3.000000 3.000000 47.183548
Source125 82.104942 -46.696358 1.223488e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -26.917696
Source126 81.788139 -46.742096 8.770384e-08 0.000000 0.000000 0.000000 3.000000 3.000000 64.866196
Source127 81.994576 -46.708412 3.046082e-07 0.000000 0.000000 0.000000 3.000000 3.000000 2.635094
Source128 82.053246 -46.895176 1.643783e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -35.233845
Source130 81.689774 -46.870888 6.196469e-08 0.000000 0.000000 0.000000 3.000000 3.000000 78.321777
Source131 81.932930 -46.867393 1.791570e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -89.375015
Source139 82.101158 -46.528965 3.954925e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -66.421669
Source145 82.156898 -46.655117 5.880694e-08 0.000000 0.000000 0.000000 3.000000 3.000000 12.744612
Source149 81.802246 -46.862297 3.904220e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -29.303164
Source150 82.162216 -46.832458 1.715373e-08 0.000000 0.000000 0.000000 3.000000 3.000000 1.934017
Source152 81.644943 -46.822052 2.485315e-07 0.000000 0.000000 0.000000 3.000000 3.000000 14.746004
Source160 82.080658 -46.590439 3.499264e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -51.491203
Source161 81.810143 -46.835800 2.318870e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -88.566978
Source162 81.645821 -46.879936 3.411010e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -61.071411
Source165 82.182419 -46.692123 8.252004e-08 0.000000 0.000000 0.000000 3.000000 3.000000 9.395696
Source166 81.863487 -46.679745 6.070754e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -69.703735
Source170 81.649101 -46.599197 1.176424e-07 0.000000 0.000000 0.000000 3.000000 3.000000 8.316807
Source171 82.143272 -46.757679 1.609255e-07 0.000000 0.000000 0.000000 3.000000 3.000000 18.955154
Source181 81.787216 -46.546059 3.711569e-08 0.000000 0.000000 0.000000 3.000000 3.000000 48.337452
Source184 81.803017 -46.635494 1.398900e-08 0.000000 0.000000 0.000000 3.000000 3.000000 33.327042
Source187 81.890038 -46.759121 6.728393e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -77.148926
Source190 82.201721 -46.726799 8.007736e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -66.832970
Source195 81.839096 -46.580952 9.985476e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -44.838997
Source203 81.926727 -46.799450 3.265235e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -58.556759
Source209 81.682243 -46.740677 1.810033e-07 0.000000 0.000000 0.000000 3.000000 3.000000 11.697385
Source213 81.911766 -46.520840 2.201736e-08 0.000000 0.000000 0.000000 3.000000 3.000000 21.633858
Source218 81.756416 -46.836353 1.114814e-07 0.000000 0.000000 0.000000 3.000000 3.000000 83.079376
Source222 81.661125 -46.514908 1.542697e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -27.770744
Source226 82.002129 -46.670094 2.138515e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -13.612696
Source227 82.028030 -46.728321 4.483195e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -18.708031
Source230 82.146690 -46.895298 4.343111e-08 0.000000 0.000000 0.000000 3.000000 3.000000 5.015624
Source235 82.140739 -46.788082 1.613567e-07 0.000000 0.000000 0.000000 3.000000 3.000000 43.307209
Source237 81.888046 -46.703312 3.037284e-08 0.000000 0.000000 0.000000 3.000000 3.000000 89.299538
Source238 82.077927 -46.771622 2.051836e-07 0.000000 0.000000 0.000000 3.000000 3.000000 70.801331
Source244 82.198944 -46.626396 3.197637e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -14.418051
Source245 82.014023 -46.842384 7.677327e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -35.271488
Source250 81.850784 -46.631886 8.552487e-08 0.000000 0.000000 0.000000 3.000000 3.000000 36.416237
Source256 81.972183 -46.539158 5.859900e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -24.023623
Source260 81.650620 -46.780815 1.246687e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -50.414139
Source263 81.782158 -46.681538 1.028172e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -31.863104
Source268 82.154984 -46.869137 1.436853e-07 0.000000 0.000000 0.000000 3.000000 3.000000 1.624837
Source269 82.030655 -46.607834 1.405269e-07 0.000000 0.000000 0.000000 3.000000 3.000000 6.433805
Source270 81.799217 -46.892181 3.149111e-08 0.000000 0.000000 0.000000 3.000000 3.000000 36.364899
Source272 82.021774 -46.872353 3.307874e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -8.089256
Source273 81.848068 -46.527363 3.918376e-08 0.000000 0.000000 0.000000 3.000000 3.000000 85.200363
Source275 81.940956 -46.594547 1.907148e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -54.025158
